"address";"lat";"long"
"CL 70 SUR 38 358  SABANETA , Colombia";6,149830439;-75,61385958
"CL 72 SUR 33 59  SABANETA , Colombia";6,148117634;-75,61537242
"CL 75 AA SUR 53 208  ITAGUI , Colombia";6,161450041;-75,62777492
"CL 27 SUR 27 21  ENVIGADO , Colombia";6,172341318;-75,56808608
"CR 53 A 45 84  BELLO , Colombia";6,331914241;-75,56189408
"CR 61 33 51  ITAGUI , Colombia";6,18023621;-75,61260376
"CL 65 SUR 39 12  SABANETA , Colombia";6,154595644;-75,61324842
"CR 93 50 A 91  MEDELLIN , Colombia";6,269128315;-75,6042182
"CR 84 34 B 120  MEDELLIN , Colombia";6,243880003;-75,60692004
"CL 70 59 193  ITAGUI , Colombia";6,182674292;-75,59881732
"CR 43 32 39  MEDELLIN , Colombia";6,233338323;-75,569024
"CR 75 77 AC 75  MEDELLIN , Colombia";6,277930018;-75,58657003
"CL 12 AA SUR 55 D 30  ITAGUI , Colombia";6,198306831;-75,59464233
"CL 27 SUR 28 121  ENVIGADO , Colombia";6,176800009;-75,57611998
"CR 48 4 SUR 200  MEDELLIN , Colombia";6,201010005;-75,57723
"CL 42 81 A 43  MEDELLIN , Colombia";6,247670006;-75,60352
"CL 18 52 117  MEDELLIN , Colombia";6,221069994;-75,58125004
"CL 12 C 71 C  30  BOGOTA , Colombia";4,643539993;-74,12637
"CL 51 64 B 21  MEDELLIN , Colombia";6,255829998;-75,57945003
"CL 28 A 56 B 17  ITAGUI , Colombia";6,161660722;-75,62691939
"CL 19 43 G 155  MEDELLIN , Colombia";6,220963911;-75,57121432
"CL 64 SUR 39 211  SABANETA , Colombia";6,149161077;-75,60898584
"CR 23 38 73  MEDELLIN , Colombia";6,231079999;-75,55113001
"CL 34 C 88 B 55  MEDELLIN , Colombia";6,243639987;-75,61483004
"CR 75 61 85  MEDELLIN , Colombia";6,268779843;-75,58891443
"CL 73 A 48 A 20 MEDELLIN , Colombia";6,26905002;-75,55790996
